sample_key,video_id,clip_id,source_relpath,source_mp4_sha256,source_mp4_bytes,official_text,official_text_sha256,source_label_xlsx_sha256,duration_proxy_sec,word_count_proxy,shared_t0_sec,alignment_trace_sha256
-3g5yACwYnA$_$13,-3g5yACwYnA,13,-3g5yACwYnA/13.mp4,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,1052449,They've been able to find solutions or at least bring some answers to the table.,16bee1b5ecbd8d2632c5d48e5629380ddae687005479cd6e775fcffb79b58dd8,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,5.513997,15,0.0,a16b95d3e1fee8f8ff32f8cb01139fed559e649e73dde208ef89725d44559dfc
-3g5yACwYnA$_$2,-3g5yACwYnA,2,-3g5yACwYnA/2.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,1752558,Key Polymer brings a technical aspect to our operation that we don't have internally.,3d29e4bd12105ed426b7ec516a3eafc8f4d8363f8c284ea20b5944e014777e04,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,9.39401,14,0.0,2b67dae4c637399219e5d5f7c92d486f86f0a4c74ea661a3fc571aab8da1eed5
-3g5yACwYnA$_$3,-3g5yACwYnA,3,-3g5yACwYnA/3.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,2322206,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",e34429bb59081603d60a09b558b648c0a68e8f0cd59532d1b1f62cb45ee5d0b7,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,14.388997,29,0.0,ce20db0743dd75c37be8e994277451c04e071728bafb7326967b914b65fb1507
-3g5yACwYnA$_$9,-3g5yACwYnA,9,-3g5yACwYnA/9.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,1938491,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",edf40f3bc90720a15b5edde898ad73ac8914812e2e3d6da541110446b6376f81,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,8.816992,21,0.0,7873fbc328d5d44c6335ffc13f8a1afa16d05c1317cb55cce276ce04f169ae99
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,-3nNcZdcdvU/5.mp4,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,336985,Noncompliance can result in legal liability to you and to the school district in which you are employed.,79c1af6a9ee4395006d8253e8a2c10d2fa1dff409dcb41389b13cd8388f6d6f5,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,7.867969,18,0.0,b4c810fd22c202d6a7429f73c7815846a774d8487e7f269bec558b953f4ff6e9
-571d8cVauQ$_$0,-571d8cVauQ,0,-571d8cVauQ/0.mp4,defc62e1530d9b0cd27f2acfe042b71dd84d7e8c85f1df261f04912091976088,259577,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",3cc4662c85af842f5e682e4ef26cf9eb3bebd97881a87999db6c236539a3d598,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,5.066667,12,0.0,e709d4cadb3bda38703d2a1fcd4d1f93803e026957dafeeabdb1a8566a555269
-571d8cVauQ$_$5,-571d8cVauQ,5,-571d8cVauQ/5.mp4,e304c03fac1f477823fe0926c4fb421b9c4e4091f85718b729afe856c24a7d3e,813771,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",750ec610bc9cc014a16efdc1e076aa87e28e6eec9fa8ef31a42f0e43fc8a6847,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,15.272982,43,0.0,afbb8ac296712883ecc94862c6d68ba1e6ecaa40042e5fb7252f637af0fd562a
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,8,-6rXp3zJ3kc/8.mp4,59b77a0f873b7fa95e7327b93d64bb5a4bdae84039321988ef70bba8e63ee1ae,567350,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,d8191a0e9bf808171a0610c82825567e304d6950a9b1ee4e9c3f57fdd67c5add,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,12.805013,34,0.0,4d9288b9b16f577a3ad3d526911c7ba202cf2f88ed339125d93eab4e54798519
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,-9y-fZ3swSY/0.mp4,29a1fd181293cdbe24e50edcad51e3cc0f27a5824d840bcc39d453b272fb6e3c,965453,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",d81896a67e5f274d2c16dbf281a45824f967fe604ce10737525c3ccae7723a3e,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,6.833333,22,0.0,64a7d3c3496313f35491a5c7be648c9d0ff98a20a07936df82539fd3e419bbcd
-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,-9y-fZ3swSY/4.mp4,fe04a26710e85c58bdaad5a48618c7e0f742d82b0d920eb4a046c8f14a6921dc,1486121,I’ve seen this in US or in the US,90e4f5f3d707d702db91e02acb36aef59bcc5989d01839f4e69891616d660847,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,2.821029,9,0.0,7e79ea944070ba2153690032a6e79481bba994e9fd85518d143d83bd755dcd25
