sample_key,modalities,original_effective_duration_sec,text_sequence_length,audio_observation_length,video_observation_length,alignment_mode,alignment_granularity,text_av_time_mapping_status,feature_dims_json,output_file
-3g5yACwYnA$_$13,text|audio|video,5.500000,15,535,163,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-3g5yACwYnA___13.npz
-3g5yACwYnA$_$2,text|audio|video,9.366667,14,919,278,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-3g5yACwYnA___2.npz
-3g5yACwYnA$_$3,text|audio|video,14.366667,29,1428,431,TRI_MODAL_WORD_VALID,word,word_valid,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-3g5yACwYnA___3.npz
-3g5yACwYnA$_$9,text|audio|video,8.800000,21,865,263,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-3g5yACwYnA___9.npz
-3nNcZdcdvU$_$5,text|audio|video,7.866667,18,774,236,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-3nNcZdcdvU___5.npz
-571d8cVauQ$_$0,text|audio|video,5.166667,12,495,152,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-571d8cVauQ___0.npz
-571d8cVauQ$_$5,text|audio|video,15.266667,43,1507,455,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-571d8cVauQ___5.npz
-6rXp3zJ3kc$_$8,text|audio|video,12.800000,34,1269,384,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-6rXp3zJ3kc___8.npz
-9y-fZ3swSY$_$0,text|audio|video,6.900000,22,671,205,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-9y-fZ3swSY___0.npz
-9y-fZ3swSY$_$4,text|audio|video,2.800000,9,262,81,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-9y-fZ3swSY___4.npz
-9y-fZ3swSY$_$8,text|audio|video,4.966667,12,487,149,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-9y-fZ3swSY___8.npz
-AUZQgSxyPQ$_$2,text|audio|video,22.500000,41,2236,674,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-AUZQgSxyPQ___2.npz
-HeZS2-Prhc$_$2,text|audio|video,8.233333,16,811,246,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-HeZS2-Prhc___2.npz
-HwX2H8Z4hY$_$2,text|audio|video,3.966667,7,387,119,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-HwX2H8Z4hY___2.npz
-HwX2H8Z4hY$_$5,text|audio|video,5.633333,9,550,168,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-HwX2H8Z4hY___5.npz
-HwX2H8Z4hY$_$6,text|audio|video,3.333333,7,321,99,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-HwX2H8Z4hY___6.npz
-HwX2H8Z4hY$_$9,text|audio|video,7.733333,22,759,232,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-HwX2H8Z4hY___9.npz
-I_e4mIh0yE$_$1,text|audio|video,7.600000,18,740,225,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-I_e4mIh0yE___1.npz
-I_e4mIh0yE$_$3,text|audio|video,9.133333,22,895,271,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-I_e4mIh0yE___3.npz
-MeTTeMJBNc$_$0,text|audio|video,9.333333,21,917,279,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-MeTTeMJBNc___0.npz
-MeTTeMJBNc$_$13,text|audio|video,5.400000,14,521,159,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-MeTTeMJBNc___13.npz
-MeTTeMJBNc$_$7,text|audio|video,10.500000,31,1037,314,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-MeTTeMJBNc___7.npz
-NFrJFQijFE$_$1,text|audio|video,5.720000,16,561,142,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-NFrJFQijFE___1.npz
-NFrJFQijFE$_$2,text|audio|video,6.840000,18,665,169,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-NFrJFQijFE___2.npz
-RfYyzHpjk4$_$11,text|audio|video,5.233333,17,503,154,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-RfYyzHpjk4___11.npz
-RfYyzHpjk4$_$2,text|audio|video,5.500000,25,535,164,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-RfYyzHpjk4___2.npz
-RfYyzHpjk4$_$8,text|audio|video,4.566667,17,449,137,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-RfYyzHpjk4___8.npz
-THoVjtIkeU$_$12,text|audio|video,14.866667,39,1476,445,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-THoVjtIkeU___12.npz
-THoVjtIkeU$_$2,text|audio|video,4.266667,10,419,128,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-THoVjtIkeU___2.npz
-THoVjtIkeU$_$6,text|audio|video,8.066667,30,794,241,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-THoVjtIkeU___6.npz
-UUCSKoHeMA$_$0,text|audio|video,7.866667,18,769,234,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-UUCSKoHeMA___0.npz
-UacrmKiTn4$_$10,text|audio|video,7.333333,18,720,218,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-UacrmKiTn4___10.npz
