word_index	word_text	char_start	char_end	start_sec	end_sec	probability	alignment_valid	aligner_items
0	they	0	4	0.02	0.12	0.06267719715833664	1	 they
1	have	5	9	0.12	0.22	0.8222641348838806	1	 have
2	doubt,	10	16	0.22	0.78	0.4242928922176361	1	 doubt,
3	they	17	21	0.78	0.78	0.7920995354652405	0	 they
4	have	22	26	0.78	0.9	0.9667174220085144	1	 have
5	fear,	27	32	0.9	1.76	0.6709461063146591	1	 fear,
6	they	33	37	1.76	1.78	0.9201119542121887	1	 they
7	lose	38	42	1.78	1.96	0.3151285946369171	1	 lose
8	in	43	45	1.96	2.2	0.9232199192047119	1	 in
9	a	46	47	2.2	2.28	0.9220614433288574	1	 a
10	Ferrari	48	55	2.28	2.46	0.9859946966171265	1	 Ferrari
11	race,	56	61	2.46	3.1	0.6820721477270126	1	 race,
12	or	62	64	3.12	3.18	0.5452677011489868	1	 or
13	they	65	69	3.18	3.3	0.9452083706855774	1	 they
14	lose	70	74	3.3	3.56	0.9383054971694946	1	 lose
15	in	75	77	3.56	3.82	0.9714535474777222	1	 in
16	a	78	79	3.82	4.02	0.8954605460166931	1	 a
17	race,	80	85	4.02	5.04	0.7396811544895172	1	 race,
18	and	86	89	5.06	5.24	0.9358832836151123	1	 and
19	then	90	94	5.24	5.36	0.957560122013092	1	 then
20	they	95	99	5.36	5.48	0.9720714092254639	1	 they
21	just	100	104	5.48	5.66	0.9876850843429565	1	 just
22	give	105	109	5.66	5.84	0.987280011177063	1	 give
23	up	110	112	5.84	6.06	0.9983423948287964	1	 up
