sample_key,video_id,clip_id,official_text,source_mp4_sha256,text_present,audio_present,video_present,text_content_valid,audio_speech_valid,vision_feature_valid,face_feature_valid,audio_visual_time_valid,text_audio_correspondence,text_av_time_mapping_status,alignment_mode,zero_duration_word_count,mapping_fail_count,alignment_probability_summary,alignment_structurally_valid_words,alignment_official_word_count,alignment_diagnostic_status,human_review_required,human_review_status,human_evidence_source,asr_screen_flag,asr_word_error_rate,asr_text,audio_rms,audio_max_abs,video_frame_count,face_detected_frame_count,face_detection_ratio,audio_coverage_start_sec,audio_coverage_end_sec,video_coverage_start_sec,video_coverage_end_sec,av_overlap_sec,anomaly_type,notes
-3g5yACwYnA$_$13,-3g5yACwYnA,13,They've been able to find solutions or at least bring some answers to the table.,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,1,1,1,1,unknown,1,1,1,unknown,unverified,UNCERTAIN_REVIEW,0,0,"{""count"":15,""min"":0.4062670344719663,""median"":0.9828378558158875,""mean"":0.9085263840000456,""lt_0_1_count"":0,""lt_0_01_count"":0}",15,15,completed,1,pending,,CLOSE_BY_HEURISTIC,0.1875, that we do. They've been able to find solutions or at least bring some answers to the table.,0.011623148732640892,0.14309161901474,163,163,1.0,0.0,5.399125,0.0,5.5,5.399125,,Human transcript/audio content review is pending; ASR and alignment scores are diagnostic only.
-3g5yACwYnA$_$2,-3g5yACwYnA,2,Key Polymer brings a technical aspect to our operation that we don't have internally.,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,1,1,1,1,unknown,1,1,1,unknown,unverified,UNCERTAIN_REVIEW,0,0,"{""count"":14,""min"":0.0019160340307280421,""median"":0.9588938355445862,""mean"":0.8219388426722227,""lt_0_1_count"":1,""lt_0_01_count"":1}",14,14,completed,1,pending,,MODERATE_DISAGREEMENT_REVIEW,0.26666666666666666, Keep on where it brings a technical aspect to our operation that we don't have internally.,0.01762113588890069,0.1554868519306183,278,278,1.0,0.0,9.2313125,0.0,9.366666666666667,9.2313125,ASR_REVIEW_SIGNAL,Human transcript/audio content review is pending; ASR and alignment scores are diagnostic only.
-3g5yACwYnA$_$3,-3g5yACwYnA,3,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,1,1,1,1,1,1,1,1,confirmed_match,word_valid,TRI_MODAL_WORD_VALID,0,0,"{""count"":29,""min"":0.24131733179092407,""median"":0.9622051119804382,""mean"":0.8190418844767595,""lt_0_1_count"":0,""lt_0_01_count"":0}",29,29,completed,0,confirmed_match,prefreeze_transcript_audio_2026-09-24/human_review.json,CLOSE_BY_HEURISTIC,0.16129032258064516, We're a huge user of adhesives for our operation called flocking and we don't have the technical and inside information compounding or the technical expertise to do these types of things. So keep bringing.,0.013473107478461888,0.15289120376110077,431,431,1.0,0.0,14.327875,0.0,14.366666666666667,14.327875,,
-3g5yACwYnA$_$9,-3g5yACwYnA,9,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,1,1,1,1,unknown,1,1,1,unknown,unverified,UNCERTAIN_REVIEW,0,0,"{""count"":21,""min"":0.07740642875432968,""median"":0.9301313161849976,""mean"":0.8040918266725918,""lt_0_1_count"":1,""lt_0_01_count"":0}",21,21,completed,1,pending,,CLOSE_BY_HEURISTIC,0.0," We have many new opportunities through the way things have changed through the years, looking for new niche high-end value added products.",0.015420262159359379,0.20144641399383545,263,263,1.0,0.0,8.696125,0.0,8.8,8.696125,,Human transcript/audio content review is pending; ASR and alignment scores are diagnostic only.
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,Noncompliance can result in legal liability to you and to the school district in which you are employed.,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,1,1,1,1,unknown,1,1,1,unknown,unverified,UNCERTAIN_REVIEW,0,0,"{""count"":18,""min"":0.30438836943358183,""median"":0.9681161195039749,""mean"":0.8885474434225924,""lt_0_1_count"":0,""lt_0_01_count"":0}",18,18,completed,1,pending,,CLOSE_BY_HEURISTIC,0.05555555555555555, Noncompliance can resolve in legal liability to you and to the school district in which you are employed.,0.038188847981174015,0.3519861400127411,236,235,0.9957627118644068,0.0,7.7885625,0.0,7.866666666666666,7.7885625,,Human transcript/audio content review is pending; ASR and alignment scores are diagnostic only.
-571d8cVauQ$_$0,-571d8cVauQ,0,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",defc62e1530d9b0cd27f2acfe042b71dd84d7e8c85f1df261f04912091976088,1,1,1,1,unknown,0,0,1,unknown,unverified,UNCERTAIN_REVIEW,0,0,"{""count"":12,""min"":0.08992563188076019,""median"":0.7608926743268967,""mean"":0.645278432716926,""lt_0_1_count"":1,""lt_0_01_count"":0}",12,12,completed,1,pending,,CLOSE_BY_HEURISTIC,0.08333333333333333," This is Rhett Riger, White Caspian Studios on behalf of Expert Village.",0.016443179598158764,0.18150749802589417,152,0,0.0,0.0,4.9923125,0.0,5.166666666666667,4.9923125,NO_USABLE_FACE_FEATURE,Frozen MediaPipe returned no usable face blendshape set; source video remains present. Human transcript/audio content review is pending; ASR and alignment scores are diagnostic only.
-571d8cVauQ$_$5,-571d8cVauQ,5,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",e304c03fac1f477823fe0926c4fb421b9c4e4091f85718b729afe856c24a7d3e,1,1,1,1,unknown,0,0,1,unknown,unverified,UNCERTAIN_REVIEW,0,0,"{""count"":43,""min"":8.384201646549627e-05,""median"":0.9565133154392242,""mean"":0.8416412886985791,""lt_0_1_count"":2,""lt_0_01_count"":1}",43,43,completed,1,pending,,CLOSE_BY_HEURISTIC,0.09090909090909091," So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there, and let everybody know this is a very valuable spot. This is good.",0.019398593007857706,0.17488785088062286,455,0,0.0,0.0,15.11525,0.0,15.266666666666666,15.11525,NO_USABLE_FACE_FEATURE,Frozen MediaPipe returned no usable face blendshape set; source video remains present. Human transcript/audio content review is pending; ASR and alignment scores are diagnostic only.
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,8,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,59b77a0f873b7fa95e7327b93d64bb5a4bdae84039321988ef70bba8e63ee1ae,1,1,1,1,unknown,1,1,1,unknown,unverified,UNCERTAIN_REVIEW,0,0,"{""count"":34,""min"":0.00010240849951514974,""median"":0.9015035033226013,""mean"":0.7751335311102807,""lt_0_1_count"":2,""lt_0_01_count"":1}",34,34,completed,1,pending,,CLOSE_BY_HEURISTIC,0.08571428571428572, aware of many people are not until they get to be a older age and they realize that gosh they've wasted a lot of time and money in placing bets on stock that's ultimately lost value.,0.07100225495158992,0.7105945348739624,384,384,1.0,0.0,12.738,0.0,12.8,12.738,,Human transcript/audio content review is pending; ASR and alignment scores are diagnostic only.
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",29a1fd181293cdbe24e50edcad51e3cc0f27a5824d840bcc39d453b272fb6e3c,1,1,1,1,unknown,1,1,1,unknown,unverified,UNCERTAIN_REVIEW,2,0,"{""count"":22,""min"":0.002731407294049859,""median"":0.8180335611104965,""mean"":0.6590876648192311,""lt_0_1_count"":2,""lt_0_01_count"":2}",20,22,completed,1,pending,,MODERATE_DISAGREEMENT_REVIEW,0.43478260869565216," You can say, hey, you know what? I really like baby's kid. They're so soft. They don't have any hair on their face. It's so",0.09017067697336514,0.5832126140594482,205,205,1.0,0.0,6.757,0.0,6.8999999999999995,6.757,ASR_REVIEW_SIGNAL;ZERO_DURATION_WORD,Human transcript/audio content review is pending; ASR and alignment scores are diagnostic only.
-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,I’ve seen this in US or in the US,fe04a26710e85c58bdaad5a48618c7e0f742d82b0d920eb4a046c8f14a6921dc,1,1,1,1,unknown,1,1,1,unknown,unverified,UNCERTAIN_REVIEW,0,0,"{""count"":9,""min"":0.25816187262535095,""median"":0.9702919721603394,""mean"":0.7978136327148909,""lt_0_1_count"":0,""lt_0_01_count"":0}",9,9,completed,1,pending,,CLOSE_BY_HEURISTIC,0.1, I've seen this in the US or in the US.,0.09082157184094308,1.0024819374084473,81,79,0.9753086419753086,0.0,2.6648125,0.0,2.8,2.6648125,,Human transcript/audio content review is pending; ASR and alignment scores are diagnostic only.
