sample_id,pkl_sha256,video_sha256,raw_text_sha256,pkl_keys,per_row_temporal_fields,token_count_excluding_specials,ids_exact,attention_exact,segments_exact,vision_all_zero,video_present,token_span_status
01,5a08410ee779863238edcf349556a2f8e10490a70e02fc95001a64f6c8d17452,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,56d9daadbf8246d8e6bd904d99a5262f6d7b62720ac361d674a9adb4c16b2e9e,audio;id;raw_text;text;text_bert;vision,,22,True,True,True,False,True,token_span_candidate_only
02,88ed34a500bd7f11027ffc97205e23fdcde162b32bee9c447367b026b41608ac,6b651e908aefd86959f85b78f945f7d5a5d9e767eb4c095926e1df2ed9629ff9,209074ad1504cf9e461e777a2fdc1d66f12ead7332ed3ba7639ed5dcefc0fa09,audio;id;raw_text;text;text_bert;vision,,19,True,True,True,False,True,token_span_candidate_only
03,237a657ffb78b451b4e504ab8021e6072de404afd83d3b08be1560e98ca62860,556b83449ac17fd8cb99ed1dcd6f11c287dd6e0198885e88555579f9bcab84f3,51dc36e074fc47d3e3852aced546c411d3a4e0f02ab8979e753626b9248a3493,audio;id;raw_text;text;text_bert;vision,,33,True,True,True,False,True,token_span_candidate_only
04,f7d7291b6ed0050ad3fd439bd3f85ce6fafb230a6399366a76e0b52f017bf4a7,766db8dc32508b8f7f8faaa47656e0eedc8d1707b809fe8235db1e74e15d3369,a0f36ef815ab2ef5d429276e83181ac1734d6b8b3e5f3766170b85d1fcfc53e9,audio;id;raw_text;text;text_bert;vision,,26,True,True,True,False,True,token_span_candidate_only
05,c6948e101e25656832290edf03daaf400b9a566e912775193d5f3ecdf9388eec,715d7c1dd52a78eac6c0a10cd78ba1c4f632dc778839c86fcf7a510ea4184420,86d6678b450c32bb548f728ba37612e1d0bb735dedc8e0f0c083ddcffd7ce003,audio;id;raw_text;text;text_bert;vision,,15,True,True,True,False,True,token_span_candidate_only
06,8c432420054ac28bfcacbbee18d0e8397bc87fa0c7e8cbb11f525d6e366fdd57,22e0a0e7c0880d3e92e4eb5e98070e5128884dd21eebc8367852570feb1b1d7f,c1ee582734a5561fba8995ca9c2286b732ea9d80a02501d9b89508bb79c6cc91,audio;id;raw_text;text;text_bert;vision,,35,True,True,True,False,True,token_span_candidate_only
07,f16e44523bd82862435489552910ef3b801dd5b7501d67b84b83ee1496b0c5a0,f3b47ceaddf31d472c367259788cb68e93511b14ae117577836f196e22ecedc5,194d9af1cc5d8283c9883ebd661197bae5bac8f3689b911a61f6ec294f043f1a,audio;id;raw_text;text;text_bert;vision,,48,True,True,True,False,True,token_span_candidate_only
08,a1cccd885234d22478f30d0a3b253277e0567abaecc6ac683734b7e3dfc255c4,962057312eb9b751ff907ba5799f455dedfc271cabb5d45abd40803e08f88d79,9ca716969ea44ec4ae6679f1e4d8d3801ba1ed67d34e711920ee3d8f395990b5,audio;id;raw_text;text;text_bert;vision,,11,True,True,True,False,True,token_span_candidate_only
09,f00ad50bdc14a4c9fe58fb4e421d6c8ee052d281d917766314f2846e48af8ff7,7ecb03c24c8fc45b66bff4eb56bdf2adba033e96db52dd2d858abd93fae9d749,4f55df9575e58204197beaae9d1ef23724adde0c5a5d8e847954517e43d60b7c,audio;id;raw_text;text;text_bert;vision,,18,True,True,True,False,True,token_span_candidate_only
10,693326817b8253fc907a3c1df1b05dd1f10c7bc756a86ce125bb903b01eaf571,21047991667edfdde0cb848dfd80aa41ccb871bc02742bd24f28d512a70f53db,c344a9473d3b0fcf85d4e9b1eec348968534715f02b0c3922440650c1fb5494a,audio;id;raw_text;text;text_bert;vision,,30,True,True,True,False,True,token_span_candidate_only
11,6e4c4b2fe76d6bbc56d1d21447ec9dff5309adb1227de8adab116ff703f42ffb,972bbc9b3f3cd620b2e576672301be7ccba0f54dae3a22b42194a3e322fd7905,86880e48660bc64cf8e7fbf0568405ced4bc0215a15f637d84f88c53d4210803,audio;id;raw_text;text;text_bert;vision,,14,True,True,True,False,True,token_span_candidate_only
12,5d003f471f20ac8d51553c3b217fc594075067a4c806fc07139839d681a97032,5d4da7ef7e6a4a344a2b9657fadfa2207c3565a9f7c1fb806e629c95b453aff3,6d50ecc8d7010d1298de911bd020a8073a5f1b2f40bd02305b00e5f5b1bfd7d3,audio;id;raw_text;text;text_bert;vision,,42,True,True,True,False,True,token_span_candidate_only
13,e2d3d3c55bc52e7178e6e7f9b28e677018f14c76966d9ec5ac486d8fbbfd8281,8a64f1201e0299f79d915aa87b4a9be811e346525589d1f41060c2533599a7cb,0c6968f62e844e2b5aea79fe78dbb2831c1841f9404aeb2bb79bb81f4bb83f89,audio;id;raw_text;text;text_bert;vision,,30,True,True,True,True,True,token_span_candidate_only
14,5a07719d0610e979be9cc58f4137c951259048fe6ab9918cafd9e27d62f0b5dd,8f1c4cb4b1c97b31cd065317faef41465cfcda403ef12d1defce4a5d23b8e18e,267003c3fda54b9cbb6a3026ff78d428371c8c03637c6a8da399a45eedf50789,audio;id;raw_text;text;text_bert;vision,,35,True,True,True,False,True,token_span_candidate_only
15,1fd8521f61b769038a991088f11a9693e0ad9f05ad92f9924d502cc147a7cd1f,bdd4ea47f2dac729a445cdf34009b9dff6d66bdc8ca997b82814bd55dc7fc675,4a2673cdf6dcb5a06bc5485a7369e1d00d21cdb86ebd183a6040f28a812ab1d4,audio;id;raw_text;text;text_bert;vision,,21,True,True,True,False,True,token_span_candidate_only
16,5528f121c021c3648f41e013e829c0a73870eafbbde73415147a074be81d722f,819a4c15dce5b85d8f7717087ea660551c3044daf3cecba1d45d342ae85365e5,dd74225cfae019b8a64527afd30153fa44162ac888798fe9191b7073e7a620d2,audio;id;raw_text;text;text_bert;vision,,11,True,True,True,False,True,token_span_candidate_only
17,7b841ea3fdea42ef7d0ba607d90ea61a86a44066eb4ee3d1a70e8180a7b47796,8a2f9bad44684ae0ba22f4ad39e848020dbac6acf7e5fe9d974f2448e6902462,08f59d0a514e75a914a3c4ddf7d19d249b4da426c6b8a68855fecf859f4f7607,audio;id;raw_text;text;text_bert;vision,,24,True,True,True,False,True,token_span_candidate_only
