sample_id,video_sha256,format_duration_sec,video_header_nb_frames,video_rate_reported,video_decoded_frames_with_pts,video_first_pts_sec,video_last_pts_sec,video_pts_finite,video_pts_nondecreasing,audio_decoded_frames_with_pts,audio_first_pts_sec,audio_last_pts_sec,audio_pts_finite,audio_pts_nondecreasing,unaligned_audio_length,unaligned_vision_length,audio_rows_per_second_proxy_only,vision_rows_per_second_proxy_only,audio_feature_row_to_raw_pts_verified,vision_feature_row_to_raw_pts_verified,metadata_stdout_sha256,video_pts_stdout_sha256,audio_pts_stdout_sha256
01,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,9.0,270,30/1,270,0.0,8.966667,True,True,387,0.0,8.962902,True,True,179,135,19.88888888888889,15.0,False,False,73aa12c683618854cb3e53e038a093cb276b75e7b777de1f0fe1fd7749339819,dac2ee08e12bd49b197b1d4c0d90a69ece4511cb84a4cc6e0e938d7a59892d2c,00618ff7bd0e6514de02daf473d12417e5985676c6657956d03d2031cb3524e2
02,6b651e908aefd86959f85b78f945f7d5a5d9e767eb4c095926e1df2ed9629ff9,3.492969,108,30/1,101,0.0,3.433333,True,True,144,0.0,3.305147,True,True,66,50,18.89510041457568,14.314470011042182,False,False,8396e1165055584f7b165dc278d16bec2269179a667fbf8fca5c90c028314fd0,c3ed1549c3c65a7da6f9d0a42e093fa1e328cb43488a1681f8c4a24d9c02aec7,13af8dc373b3ebad81c81916031d8351e9769da8031789c892e22b776d751ae4
03,556b83449ac17fd8cb99ed1dcd6f11c287dd6e0198885e88555579f9bcab84f3,9.663997,480,30/1,289,0.0,9.6,True,True,413,0.0,9.560272,True,True,191,144,19.76407898305432,14.900666877276555,False,False,ff83ebee6069c0b90d28181cac761f298ed49cb2577d961044a3cb97eb7b45f0,ed547e536183666c0d0ce6be22666492e496a274af131eafa767c75368da0bd3,8c5bdb34de8c2fa8c811572c2b3492a370d20ef72bbfeb6ce2a3bcd00ada324e
04,766db8dc32508b8f7f8faaa47656e0eedc8d1707b809fe8235db1e74e15d3369,6.99401,277,30/1,207,0.0,6.933333,True,True,295,0.0,6.824286,True,True,137,103,19.588190465841482,14.726887722493963,False,False,5bcfc1089a0678665a53869fb74c757c9311f7891d3246236d93e1bec5cda4fd,1646fe630f5519c0b37fa727eb3155e0b76854546056926f710dcb9d1a3e8068,e40fd8836e989c84e2d7485b8eae02fe488cb3fe918c9f617e41e3b4130d0d8f
05,715d7c1dd52a78eac6c0a10cd78ba1c4f632dc778839c86fcf7a510ea4184420,6.1,183,30/1,183,0.0,6.133333,True,True,259,0.0,5.990748,True,True,120,90,19.672131147540984,14.754098360655739,False,False,4d8ae3085f48158da8289ba4996095c8acad211d148513f2a7aac40ff24aa256,9880f6dafe60e6480bfc47f4adf9722ef247869737eb004407ce44d91c4f5082,1d8fbe76fa207bc618b2ceea1938604e5cf298627cebea4a77db6befaf976633
06,22e0a0e7c0880d3e92e4eb5e98070e5128884dd21eebc8367852570feb1b1d7f,8.305013,292,30/1,247,0.0,8.266667,True,True,352,0.0,8.134853,True,True,163,123,19.62670016290161,14.810332024766245,False,False,6e609823ec0c957e13703d2a6cdb7e3f5aa9d3635be3cef91bd4d8ce20f8b931,9def93635ab3f9889acbf5bbf8b4d24d206522a0f2cf858b7d0dee80223cae3f,7da4ec4b09e21c64e30dfb0d00f56346e5ba40cded1b489e40736debb75684a9
07,f3b47ceaddf31d472c367259788cb68e93511b14ae117577836f196e22ecedc5,21.348,723,30/1,639,0.0,21.3,True,True,916,0.0,21.242358,True,True,425,319,19.90818812066704,14.942851789394792,False,False,3385d5cd782acad5dda2a04c5ab503026041b4fd37b3b2bf16041db698f0c0a5,85696d98ea83487ded2e5a9a2bc88a7704ccf0a0b4100916e10e58ec7b0a4518,2eddd6e33be0e0934ca0e794f91dc8d3e8b3b481c2aad5196c061fcc2e435323
08,962057312eb9b751ff907ba5799f455dedfc271cabb5d45abd40803e08f88d79,5.086003,239,30/1,149,0.0,5.033333,True,True,212,0.0,4.885215,True,True,98,74,19.268569051178304,14.549735814155046,False,False,56d2f39d3f81532ee82607004ed64b4d4acffca4f3d04d6fcb8e8b524cf6bbad,9e1830105a92584f7a7d5bfd27b83430a7219f8bffa3f08ef4b0bf9b97ab3f5e,853e950a54ffe889631ebae5d1ef97997fe4ae7e75bdd065b7cc9b2507abd89c
09,7ecb03c24c8fc45b66bff4eb56bdf2adba033e96db52dd2d858abd93fae9d749,5.041992,339,30/1,151,0.0,5.0,True,True,233,0.0,4.943,True,True,99,75,19.635096604675297,14.875073185360073,False,False,04dd1e25e30014ad9fc0eb03bae00d906bac2ac76a4696e8a85e4572770f48f6,cb259b58f2c3882da4c89ff5477308fdcd1a3f45908e951df19d118a3e83a841,7a03a549a21c639593869386ceb5d50c9c7ffd9066edb3bff0c0daefc9740717
10,21047991667edfdde0cb848dfd80aa41ccb871bc02742bd24f28d512a70f53db,9.939974,325,30/1,295,0.0,9.9,True,True,421,0.0,9.752336,True,True,195,147,19.617757551478505,14.788771077268413,False,False,ce289ca5314f75bb0b213efe18c48488c3af2d3fa4a3c1d191eac404a7d14403,789dcacb4e2ea406dfa6b187408609a7a556e0e4e49b7cb194024caffb6837f6,410c78a116354697c4de8a8b81a6e0761c92e3a4d98c97634aa5411ff6d73974
