sample_id,aligned_pkl_sha256,unaligned_pkl_sha256,aligned_video_sha256,unaligned_video_sha256,video_bytes_equal,id_equal,raw_text_equal,text_50x768_equal,text_bert_3x50_equal,aligned_pkl_keys,unaligned_pkl_keys,text_dtype_aligned,text_dtype_unaligned,content_positions,text_padding_rows_nonzero,audio_unaligned_length,audio_dtype_aligned,audio_dtype_unaligned,audio_source_padding_all_zero,audio_aligned_content_all_zero,audio_rows_with_exact_source_match,audio_rows_with_unique_source_match,audio_all_unique_matches_nondecreasing,audio_unique_matches_form_valid_suffix,vision_unaligned_length,vision_dtype_aligned,vision_dtype_unaligned,vision_source_padding_all_zero,vision_aligned_content_all_zero,vision_rows_with_exact_source_match,vision_rows_with_unique_source_match,vision_all_unique_matches_nondecreasing,vision_unique_matches_form_valid_suffix
01,5a08410ee779863238edcf349556a2f8e10490a70e02fc95001a64f6c8d17452,70e55e2709905d7ea9becf70d8dd91d83688e5902b6c5e601aa6d16e703e4659,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,22,26,179,float64,float64,True,False,22,22,True,True,135,float64,float64,True,False,22,22,True,True
02,88ed34a500bd7f11027ffc97205e23fdcde162b32bee9c447367b026b41608ac,17e1a7c74f20dd25ca240b289add7a3b632ff2d6fb73d71eb1e1c6006b1f3cb9,6b651e908aefd86959f85b78f945f7d5a5d9e767eb4c095926e1df2ed9629ff9,6b651e908aefd86959f85b78f945f7d5a5d9e767eb4c095926e1df2ed9629ff9,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,19,29,66,float64,float64,True,False,19,19,True,True,50,float64,float64,True,False,19,19,True,True
03,237a657ffb78b451b4e504ab8021e6072de404afd83d3b08be1560e98ca62860,0d959289f51abebc34cb911895d7da4c70bb032d2fe281906b8f27ef6411cd8b,556b83449ac17fd8cb99ed1dcd6f11c287dd6e0198885e88555579f9bcab84f3,556b83449ac17fd8cb99ed1dcd6f11c287dd6e0198885e88555579f9bcab84f3,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,33,15,191,float64,float64,True,False,33,33,True,True,144,float64,float64,True,False,33,33,True,True
04,f7d7291b6ed0050ad3fd439bd3f85ce6fafb230a6399366a76e0b52f017bf4a7,f05343ac26cc037a6023a8e00ca1ffa7d5578db9bac6f2dad2e97bebf2ee188c,766db8dc32508b8f7f8faaa47656e0eedc8d1707b809fe8235db1e74e15d3369,766db8dc32508b8f7f8faaa47656e0eedc8d1707b809fe8235db1e74e15d3369,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,26,22,137,float64,float64,True,False,26,26,True,True,103,float64,float64,True,False,26,26,True,True
05,c6948e101e25656832290edf03daaf400b9a566e912775193d5f3ecdf9388eec,cf0cd1b562e4516a25a04c23953f9baecaa0f42ce4044aa4eb9b1aba221e70a9,715d7c1dd52a78eac6c0a10cd78ba1c4f632dc778839c86fcf7a510ea4184420,715d7c1dd52a78eac6c0a10cd78ba1c4f632dc778839c86fcf7a510ea4184420,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,15,33,120,float64,float64,True,False,15,15,True,True,90,float64,float64,True,False,15,15,True,True
06,8c432420054ac28bfcacbbee18d0e8397bc87fa0c7e8cbb11f525d6e366fdd57,3a5e9de011531ec38d60430053a221bfde7e05b253cbbf414b6ec08c42b9eee4,22e0a0e7c0880d3e92e4eb5e98070e5128884dd21eebc8367852570feb1b1d7f,22e0a0e7c0880d3e92e4eb5e98070e5128884dd21eebc8367852570feb1b1d7f,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,35,13,163,float64,float64,True,False,35,35,True,True,123,float64,float64,True,False,35,35,True,True
07,f16e44523bd82862435489552910ef3b801dd5b7501d67b84b83ee1496b0c5a0,b6f9a61599a16d0dee901ec277cdb32bde3ab50a223b15823fd0368b61f32314,f3b47ceaddf31d472c367259788cb68e93511b14ae117577836f196e22ecedc5,f3b47ceaddf31d472c367259788cb68e93511b14ae117577836f196e22ecedc5,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,48,0,425,float64,float64,True,False,48,48,True,False,319,float64,float64,True,False,48,48,True,False
08,a1cccd885234d22478f30d0a3b253277e0567abaecc6ac683734b7e3dfc255c4,842aa20b0b30bd8cdef2d1f2e3c458abf01caaacb416b23a4dc8b7129ca660f3,962057312eb9b751ff907ba5799f455dedfc271cabb5d45abd40803e08f88d79,962057312eb9b751ff907ba5799f455dedfc271cabb5d45abd40803e08f88d79,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,11,37,98,float64,float64,True,False,11,11,True,True,74,float64,float64,True,False,11,11,True,True
09,f00ad50bdc14a4c9fe58fb4e421d6c8ee052d281d917766314f2846e48af8ff7,f42d91d2c1b8e6cad707eccd029c57eb1cb9e9300544ad1ba10bf0a96627ce65,7ecb03c24c8fc45b66bff4eb56bdf2adba033e96db52dd2d858abd93fae9d749,7ecb03c24c8fc45b66bff4eb56bdf2adba033e96db52dd2d858abd93fae9d749,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,18,30,99,float64,float64,True,False,18,18,True,True,75,float64,float64,True,False,18,18,True,True
10,693326817b8253fc907a3c1df1b05dd1f10c7bc756a86ce125bb903b01eaf571,b12cb66e785c60faaa92d91be71bcae87dd4c0282bdd7e53241a7bb3e7413aa9,21047991667edfdde0cb848dfd80aa41ccb871bc02742bd24f28d512a70f53db,21047991667edfdde0cb848dfd80aa41ccb871bc02742bd24f28d512a70f53db,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,30,18,195,float64,float64,True,False,30,30,True,True,147,float64,float64,True,False,30,30,True,True
11,6e4c4b2fe76d6bbc56d1d21447ec9dff5309adb1227de8adab116ff703f42ffb,64b0b19f12977bb24684cbb874d88e3dde71ad7f93821f8a382d05d3047c3005,972bbc9b3f3cd620b2e576672301be7ccba0f54dae3a22b42194a3e322fd7905,972bbc9b3f3cd620b2e576672301be7ccba0f54dae3a22b42194a3e322fd7905,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,14,34,114,float64,float64,True,False,14,14,True,True,86,float64,float64,True,False,14,14,True,True
12,5d003f471f20ac8d51553c3b217fc594075067a4c806fc07139839d681a97032,fd7cb86a2952ef384b0f1ce0dc58391332379e1d065d48100735b40ce991a624,5d4da7ef7e6a4a344a2b9657fadfa2207c3565a9f7c1fb806e629c95b453aff3,5d4da7ef7e6a4a344a2b9657fadfa2207c3565a9f7c1fb806e629c95b453aff3,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,42,6,257,float64,float64,True,False,42,42,True,True,193,float64,float64,True,False,42,42,True,True
13,e2d3d3c55bc52e7178e6e7f9b28e677018f14c76966d9ec5ac486d8fbbfd8281,4d8b77cdc24eecaa5104f19eaff60bad12fbf1886f40f1d95491decc9b31f7e0,8a64f1201e0299f79d915aa87b4a9be811e346525589d1f41060c2533599a7cb,8a64f1201e0299f79d915aa87b4a9be811e346525589d1f41060c2533599a7cb,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,30,18,173,float64,float64,True,False,30,30,True,True,1,float64,float64,False,True,0,0,False,False
14,5a07719d0610e979be9cc58f4137c951259048fe6ab9918cafd9e27d62f0b5dd,17b0576012b71cdbebddfd38375e19f21fbe8e1eefa4813ac945196c734c9f55,8f1c4cb4b1c97b31cd065317faef41465cfcda403ef12d1defce4a5d23b8e18e,8f1c4cb4b1c97b31cd065317faef41465cfcda403ef12d1defce4a5d23b8e18e,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,35,13,204,float64,float64,True,False,35,35,True,True,153,float64,float64,True,False,35,35,True,True
15,1fd8521f61b769038a991088f11a9693e0ad9f05ad92f9924d502cc147a7cd1f,e12cb1d0b69558c7f81eecb2063769b872e58718051c7ea6b2761c066763f594,bdd4ea47f2dac729a445cdf34009b9dff6d66bdc8ca997b82814bd55dc7fc675,bdd4ea47f2dac729a445cdf34009b9dff6d66bdc8ca997b82814bd55dc7fc675,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,21,27,145,float64,float64,True,False,21,21,True,True,110,float64,float64,True,False,21,21,True,True
16,5528f121c021c3648f41e013e829c0a73870eafbbde73415147a074be81d722f,359fae06a5df658729772eda07de43a12627a53574df95164942eb5f7a594153,819a4c15dce5b85d8f7717087ea660551c3044daf3cecba1d45d342ae85365e5,819a4c15dce5b85d8f7717087ea660551c3044daf3cecba1d45d342ae85365e5,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,11,37,60,float64,float64,True,False,11,11,True,True,1,float64,float64,False,False,0,0,False,False
17,7b841ea3fdea42ef7d0ba607d90ea61a86a44066eb4ee3d1a70e8180a7b47796,5d52d13cec0e716c6dab949e3296607d6f32bf320cb4029fde1d2b532101a41c,8a2f9bad44684ae0ba22f4ad39e848020dbac6acf7e5fe9d974f2448e6902462,8a2f9bad44684ae0ba22f4ad39e848020dbac6acf7e5fe9d974f2448e6902462,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,24,24,191,float64,float64,True,False,24,24,True,True,143,float64,float64,True,False,24,24,True,True
18,1fc0a00c832183dceeae626937716da6c4c096f621a7706c9268b76dedfa7f06,7991357145a879fa8d85a028f043a6835243b24a6454bf5ec89c485cbc6335cf,0faf17accce9e58d81b2cc4ff6b150f8bc7f1d2f620ba420944f5732f41d6759,0faf17accce9e58d81b2cc4ff6b150f8bc7f1d2f620ba420944f5732f41d6759,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,48,0,372,float64,float64,True,False,48,48,True,False,280,float64,float64,True,False,48,48,True,False
19,ef099682c44a9e6ba5135a74d4babf12a91ba5ee2895b32d191679244dd1c221,14041c0d6b2d351cd900603044f617d549e25821fa04b3f57d62c4a4e52fad4e,26148d75d5b4c1ff6f69a36485cc02a771a74203d2c07d9d08f018bf88658217,26148d75d5b4c1ff6f69a36485cc02a771a74203d2c07d9d08f018bf88658217,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,39,9,272,float64,float64,True,False,39,39,True,True,204,float64,float64,True,False,39,39,True,True
20,c9aed197e075fa99518e71cbb2ed17406178d9237d40c785409eacf1fa7f1a68,2ed97e598f321dc82392e6b3d85963c629cea4ea8bc166705b697a7694ff7f44,0c75c37baddf51add457b20ad35e10166ff7baaa520f77bd6b2af2239c217a1c,0c75c37baddf51add457b20ad35e10166ff7baaa520f77bd6b2af2239c217a1c,True,True,True,True,True,audio;id;raw_text;text;text_bert;vision,audio;audio_lengths;id;raw_text;text;text_bert;vision;vision_lengths,float32,float32,43,5,216,float64,float64,True,False,43,43,True,True,162,float64,float64,True,False,43,43,True,True
